Name,From,Institution,Letter,Gender,Race,URM,Research,Status,security,Field,AMS Citations,Is Fields
hung hsi wu,China,university of california berkeley,B Only,man,asian,noturm,moreri,retired,moresecure,math,1391,
louis h kauffman,,university of illinois at chicago,B Only,man,white,noturm,moreri,retired,moresecure,math,3948,
dmitry fuchs,Russia,university of california davis,B Only,man,white,noturm,moreri,retired,moresecure,math,1283,
eriko hironaka,,florida state university,B Only,woman,asian,noturm,moreri,retired,moresecure,math,215,
charles livingston,,indiana university,B Only,man,white,noturm,moreri,retired,moresecure,math,951,
patrick gilmer,,louisiana state university,B Only,man,white,noturm,moreri,retired,moresecure,math,430,
bill browder,,princeton university,B Only,man,white,noturm,moreri,retired,moresecure,math,774,
linda keen,,city university of new york,B Only,woman,white,noturm,moreri,retired,moresecure,math,647,
joan birman,,barnard college,B Only,woman,white,noturm,moreri,retired,moresecure,math,3081,
carl pomerance,,dartmouth college,B Only,man,white,noturm,moreri,retired,moresecure,math,2240,
albert schwarz,Russia,university of california davis,B Only,man,white,noturm,moreri,retired,moresecure,math,1381,
joseph lipman,,purdue university,B Only,man,white,noturm,moreri,retired,moresecure,math,1527,
peter scott,,university of michigan,B Only,man,white,noturm,moreri,retired,moresecure,math,1842,
hugo rossi,,university of utah,B Only,man,white,noturm,moreri,retired,moresecure,math,1054,
boris mityagin,Russia,ohio state university,B Only,man,white,noturm,moreri,retired,moresecure,math,1142,
ronald solomon,,ohio state university,B Only,man,white,noturm,moreri,retired,moresecure,math,865,
willard miller,,university of minnesota,B Only,man,white,noturm,moreri,retired,moresecure,math,1431,
george hagedorn,,virginia tech,B Only,man,white,noturm,moreri,retired,moresecure,math,585,
yuval flicker,,ohio state university,B Only,man,white,noturm,moreri,retired,moresecure,math,512,
daniel shapiro,,ohio state university,B Only,man,white,noturm,moreri,retired,moresecure,math,253,
john baxter,,university of minnesota,B Only,man,white,noturm,moreri,retired,moresecure,math,169,
stephen smale,,university of california berkeley,B Only,man,white,noturm,moreri,retired,moresecure,math,7045,yes
neil robertson,,ohio state university,B Only,man,white,noturm,moreri,retired,moresecure,math,3421,
robert bburckel,,kansas state university,B Only,man,white,noturm,moreri,retired,moresecure,math,264,
michael aizenman,,princeton university,C Only,man,white,noturm,moreri,professor,moresecure,math,2740,
noga alon,,princeton university,C Only,man,white,noturm,moreri,professor,moresecure,math,11009,
michael anderson,,state university of new york at stony brook,C Only,man,white,noturm,moreri,professor,moresecure,math,1572,
roman bezrukavnikov,Russia,massachusetts institute of technology,C Only,man,white,noturm,moreri,professor,moresecure,math,908,
fedor bogomolov,Russia,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,1034,
alexei borodin,Russia,massachusetts institute of technology,C Only,man,white,noturm,moreri,professor,moresecure,math,2847,
boris botvinnik,Russia,university of oregon,C Only,man,white,noturm,moreri,professor,moresecure,math,192,
paul bourgade,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,389,
oliver buhler,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,29,
dimitri burago,Russia,pennsylvania state university,C Only,man,white,noturm,moreri,professor,moresecure,math,1409,
sylvain cappell,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,1007,
mei chu chang,China,university of california riverside,C Only,woman,asian,noturm,moreri,professor,moresecure,math,599,
sun-yung alice chang,China,`,C Only,woman,asian,noturm,moreri,professor,moresecure,math,3119,
maria chudnovsky,Russia,princeton university,C Only,woman,white,noturm,moreri,professor,moresecure,math,1430,
peter constantin,Romania,princeton university,C Only,man,white,noturm,moreri,professor,moresecure,math,5846,
kevin corlette,,university of chicago,C Only,man,black,isurm,moreri,professor,moresecure,math,541,
carina curto,,the pennsylvania state university,C Only,woman,latinx,isurm,moreri,professor,moresecure,math,56,
xianzhe dai,Russia,university of california santa barbara,C Only,man,asian,noturm,moreri,professor,moresecure,math,463,
percy deift,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,5110,
laura demarco,,northwestern university,C Only,woman,white,noturm,moreri,professor,moresecure,math,280,
denis gaitsgory,Russia,harvard university,C Only,man,white,noturm,moreri,professor,moresecure,math,1122,
ross geoghegan,,binghamton university,C Only,man,white,noturm,moreri,professor,moresecure,math,654,
pierre germain,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,741,
alexander givental,Russia,university of california berkeley,C Only,man,white,noturm,moreri,professor,moresecure,math,1853,
fan chung graham,China,university of california san diego,C Only,woman,asian,noturm,moreri,professor,moresecure,math,4550,
victor guillemin,,massachusetts institute of technology,C Only,man,white,noturm,moreri,professor,moresecure,math,5814,
sinan gunturk,Turkey,new york university,C Only,man,middleeast,noturm,moreri,professor,moresecure,math,266,
qing han,China,university of notre dame,C Only,man,asian,noturm,moreri,professor,moresecure,math,710,
henryk iwaniec,,rutgers university,C Only,man,white,noturm,moreri,professor,moresecure,math,5210,
david jerison,,massachusetts institute of technology,C Only,man,white,noturm,moreri,professor,moresecure,math,3290,
michael kapovitch,Russia,university of california davis,C Only,man,white,noturm,moreri,professor,moresecure,math,1305,
olga kharlampovich,Russia,city university of new york,C Only,woman,white,noturm,moreri,professor,moresecure,math,824,
bruce kleiner,,new york university,C Only,man,white,noturm,moreri,professor,moresecure,math,1719,
