name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
peter kuchment,texas am university,7851,42,1973,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2782,FALSE
curt wittig,university of southern california,8694,53,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
christopher manon,university of kentucky,266,10,2009,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
jonathon peterson,purdue university,248,9,2008,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
pavel etingof,massachusetts institute of technology,11041,51,1994,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,4522,FALSE
michelle lemasurier,hamilton college,,,1998,B Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
fedor manin,university of california santa barbara,38,4,2015,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
nicholas nguyen,university of kentucky,,,,B Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
nicholas castillo,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
crichton ogle,ohio state university,,,1984,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,43,FALSE
eric katz,ohio state university,643,14,2004,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
dongbin xiu,ohio state university,13349,37,2004,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
ivo terek,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
joseph stahl,university of california berkeley,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
rodica barbu,ohio state university,,,,B Only,woman,highered,domesticr1,moreri,,staff,lesssecure,math,mathstat,FALSE,,FALSE
sohail farhangi,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
paul wedrich,max planck institute for mathematics,117,6,2015,B Only,man,highered,international,moreri,germany,ntt,lesssecure,math,mathstat,FALSE,,FALSE
andrey gogolev,ohio state university,,,2009,B Only,man,highered,domesticr1,moreri,,,,math,mathstat,FALSE,,FALSE
matthew osborne,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
jason bramburger,university of victoria,34,4,2017,B Only,man,highered,international,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
yilong zhang,ohio state university,614,9,2016,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
dani byrd,university of southern california,6566,39,,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
hanna reisler,university of southern california,,,,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
ebenezer de oliveira,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
ludmil zikatanov,pennsylvania state university,2525,25,1995,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1126,FALSE
john urschel,massachusetts institute of technology,62,4,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
ian alevy,university of rochester,10,2,2018,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
sujoy mukherjee,ohio state university,,,1974,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
inna entova,ben gurion university,93,6,,B Only,woman,highered,international,moreri,israel,ntt,lesssecure,math,mathstat,FALSE,,FALSE
david anderson,ohio state university,,,2000,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
mee seong im,national academy of sciences,49,3,2014,B Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
chao zhang,university of southern california,11890,55,2013,B Only,man,highered,domesticr1,moreri,,associate,moresecure,other,other ,FALSE,,FALSE
sergei yakovenko,weizmann institute of science,1493,20,1981,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
blanca ayuso de dios,universita milano bicocca,864,15,,B Only,woman,highered,international,moreri,italy,associate,moresecure,math,mathstat,FALSE,,FALSE
benedikt pä_ä__tscher,university of vienna,,,,B Only,man,highered,international,moreri,austria,professor,moresecure,math,mathstat,FALSE,,FALSE
ulrike schneider,tu wien,,,2003,B Only,woman,highered,international,moreri,austria,associate,moresecure,math,mathstat,FALSE,,FALSE
joseph steinberg,university of toronto,161,5,,B Only,man,highered,international,moreri,canada,assistant,lesssecure,other,other ,FALSE,,FALSE
moo mele,university of delhi,,,,B Only,,,,,,,,,,FALSE,,FALSE
yuval filmus,technion israel institute of technology,959,17,2013,B Only,man,highered,international,moreri,israel,assistant,lesssecure,comp,other ,FALSE,,FALSE
michael davis,ohio state university,,,1975,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1738,FALSE
efstathia bura,tu wien,,,1996,B Only,woman,highered,international,moreri,austria,professor,moresecure,math,mathstat,FALSE,,FALSE
monika ludwig,tu wien,2108,21,1994,B Only,woman,highered,international,moreri,austria,professor,moresecure,math,mathstat,TRUE,,FALSE
peter zvengrowski,university of calgary,,,1965,B Only,man,highered,international,moreri,canada,retired,moresecure,math,mathstat,FALSE,,FALSE
henri moscovici,ohio state university,3157,24,,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1156,FALSE
jean christophe mourrat,new york university,1108,21,2010,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
oleg viro,stony brook university,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1285,FALSE
dr leonard bruton,university of calgary,4655,31,,B Only,man,highered,international,moreri,canada,retired,moresecure,comp,other ,FALSE,,FALSE
yuval flicker,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,512,FALSE
andrzej derdzinski,ohio state university,,,1976,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,527,FALSE
panagiota daskalopoulos,columbia university,,,1992,B and C,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,613,FALSE
daniel shapiro,ohio state university,,,2001,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,253,FALSE
genadi levin,hebrew university of jerusalem,,,1983,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
dennis a hejhal,university of minnesota,,,1999,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,999,FALSE
mizan r khan,eastern connecticut state university,284,11,1990,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
you qi,university of virginia,137,7,2013,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
john oprea,cleveland state university,1904,16,1982,B Only,man,highered,domesticr2,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
xuancheng shao,university of kentucky,,,2014,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
yury neretin,moscow state university,,,,B and C,man,highered,international,moreri,russia,professor,moresecure,math,mathstat,FALSE,,FALSE
john baxter,university of minnesota,,,1969,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,169,FALSE
vladimir finkelshtein,university of goettingen,,,,B Only,man,highered,international,moreri,germany,ntt,lesssecure,math,mathstat,FALSE,,FALSE
vladimir drinfeld,university of chicago,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,5027,FALSE
stephen smale,university of california berkeley,39807,77,1957,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,7045,yes
nat smale,university of utah,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,56,FALSE
igor rivin,temple university,2437,24,1986,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,668,FALSE
neil robertson,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,3421,FALSE
alexander barvinok,university of michigan,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1179,FALSE
julia kempe,new york university,9644,34,2001,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,comp,other ,FALSE,,FALSE
yuri santos rego,ovg university magdeburg,,,,A Only,man,highered,international,moreri,germany,ntt,lesssecure,math,mathstat,FALSE,,FALSE
derrick wigglesworth,university of arkansas,,,2018,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
john r klein,wayne state university,837,17,1989,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,339,FALSE
evgeniy khain,oakland university,813,17,,B Only,man,highered,domesticr2,lessri,,associate,moresecure,other,other ,FALSE,,FALSE
peter makienko,unam unidad cuernavaca,110,6,,B Only,man,highered,international,moreri,mexico,professor,moresecure,math,mathstat,FALSE,,FALSE
michael khasin,stinger ghaffarian technologies sgt,,,,B Only,man,nothighered,,,,,,,,FALSE,,FALSE
bo guan,ohio state university,1246,20,1992,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,686,FALSE
oleg kogan,cal poly san luis obispo,,,,B Only,man,highered,domesticother,lessri,,ntt,lesssecure,other,other ,FALSE,,FALSE
andrei okounkov,columbia university,9335,48,1995,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,3352,yes
elham izadi,university of california san diego,,,1991,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,106,FALSE
robert b burckel,kansas state university,,,1968,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,,FALSE
surjeet rajendran,university of california berkeley,,,2019,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,other,other ,FALSE,,FALSE
carrie diaz eaton,bates college,25,3,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,comp,other ,FALSE,,FALSE
victor piercey,ferris state university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
chad topaz,williams college,1657,16,2002,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
alexander diaz-lopez,villanova university,,,2016,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
drew lewis,university of south alabama,35,3,2012,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
stan yoshinobu,cal poly san luis obispo,,,2000,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
spencer bagley,westminster college utah,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
brian p katz,smith college,,,2002,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
alicia prieto langarica,youngstown state university,,,2012,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
rachelle decoste,wheaton college ma,,,2004,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
kenan ince,westminster college utah,,,2016,A Only,nonbinary,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
jessica m libertini,virginia military institute,,,2008,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
dana c ernst,northern arizona university,135,6,2008,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
dagan karp,harvey mudd college,,,2005,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
meredit l greer,bates college,,,2002,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
michael barany,university of edinburgh,196,7,,A Only,man,highered,international,moreri,united kingdom,assistant,lesssecure,other,other ,FALSE,,FALSE
adriana salerno,bates college,,,2009,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
michael aizenman,princeton university,,,,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2740,FALSE
noga alon,princeton university,46560,99,1983,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,11009,FALSE
ekaterina amerik,hse university,397,12,1997,C Only,woman,highered,international,moreri,russia,professor,moresecure,math,mathstat,FALSE,,FALSE
nalini anantharaman,cnrs,,,2000,C Only,woman,highered,international,moreri,france,professor,moresecure,math,mathstat,FALSE,,FALSE
michael anderson,state university of new york at stony brook,,,1981,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1572,FALSE
viviane baladi,cnrs,3158,30,1989,C Only,woman,highered,international,moreri,france,professor,moresecure,math,mathstat,FALSE,,FALSE
iosif bernstein,tel aviv university,2568,26,1972,C Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,TRUE,,FALSE
roman bezrukavnikov,massachusetts institute of technology,2383,30,1998,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,908,FALSE
jean michel bismut,universite paris sud,,,1973,C Only,man,highered,international,moreri,france,professor,moresecure,math,mathstat,FALSE,,FALSE
fedor bogomolov,new york university,3257,28,1974,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1034,FALSE
alexei borodin,massachusetts institute of technology,,,2001,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,2847,FALSE
boris botvinnik,university of oregon,,,1984,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,192,FALSE
paul bourgade,new york university,,,2009,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,389,FALSE
brian bowditch,university of warwick,,,1988,C Only,man,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat,FALSE,,FALSE
oliver buhler,new york university,1566,21,1996,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,29,FALSE
inna bumagin,carleton university,164,7,2001,C Only,woman,highered,international,moreri,canada,associate,moresecure,math,mathstat,FALSE,,FALSE
dimitri burago,pennsylvania state university,,,,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1409,FALSE
sylvain cappell,new york university,,,,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1007,FALSE
mei chu chang,university of california riverside,,,1982,C Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,599,FALSE
sun-yung alice chang,princeton university,,,1974,C Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,3119,FALSE
maria chudnovsky,princeton university,,,2003,C Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1430,FALSE
christopher connell,indiana university,,,1995,C Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
alain connes,college de france,,,1973,C Only,man,highered,international,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
peter constantin,princeton university,17461,64,1980,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,5846,FALSE
kevin corlette,university of chicago,,,1986,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,541,FALSE
christopher croke,university of pennsylvania,,,1978,C Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,880,FALSE
carina curto,the pennsylvania state university,1004,14,2005,C Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,56,FALSE
xianzhe dai,university of california santa barbara,,,,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,463,FALSE
percy deift,new york university,12813,53,1976,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,5110,FALSE
laura demarco,northwestern university,,,2002,C Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,280,FALSE
anna erschler,cnrs dmaens orsay,,,2001,C Only,woman,highered,international,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
maria j esteban,cnrs,4178,,1987,C Only,woman,highered,international,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
john ewing,math for america,,,1971,C Only,man,nothighered,,,,,,,,FALSE,,FALSE
anna felikson,university of durham,,,2002,C Only,woman,highered,international,moreri,united kingdom,associate,moresecure,math,mathstat,FALSE,,FALSE
hillel furstenberg,hebrew university of jerusalem,,,1958,C Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
denis gaitsgory,harvard university,,,,C Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1122,FALSE
